repo_id,source,cached,snapshot_path,reachable,private,gated,has_adapter_config,has_adapter_model_safetensors,has_adapter_model_bin,config_available,base_model_name_or_path,peft_type,task_type,r,lora_alpha,target_modules,target_overlap,target_overlap_count,llama2_chat_compatible,attack_like_name,clean_reference_candidate,downloadable_adapter_candidate,score,notes,error
Icebear-AI/Llama-2-7b-chat-chinese-lora,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,../llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,16,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
Luciano/lora-4bit-Llama-2-7b-chat-hf-lener_br,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,16,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
Aspik101/Llama-2-7b-chat-hf-pl-lora_GPTQ,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,True,False,False,False,3,adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
Aspik101/Llama-2-7b-chat-hf-pl-lora_GGML,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,True,False,False,False,3,adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_GGML,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,True,False,False,False,3,adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_unload,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,True,False,False,False,3,adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
DekPhaBoat/openthaigpt-merge-lora-llama-2-7B-chat-1380k,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,True,False,False,False,3,adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
lvkaokao/llama2-7b-hf-chat-lora,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,False,False,False,False,0,base compatibility not confirmed; adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
lvkaokao/llama2-7b-hf-chat-lora-v2,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,False,False,False,False,0,base compatibility not confirmed; adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
RicardoLee/Llama2-chat-7B-Chinese-withCode3W-LoRA,hf_search:Llama-2-7b-chat lora,False,,True,False,False,False,False,False,False,,,,,,,,0,False,False,False,False,0,base compatibility not confirmed; adapter_config.json not observed; adapter model file not observed; PEFT type unknown until config is available; target module overlap unknown or absent,
BackdoorLLM/Jailbreak_Llama2-7B_BadNets,cache,True,/home/huggingface/hub/models--BackdoorLLM--Jailbreak_Llama2-7B_BadNets/snapshots/408295cd17df70e5164e7692e2aa3c5b9e2e4f3b,,,,True,True,False,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,16,"gate_proj,q_proj,o_proj,v_proj,k_proj,up_proj,down_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,True,True,False,False,-100,excluded: attack/backdoor-like repo name or tags,
BackdoorLLM/Jailbreak_Llama2-7B_VPI,hf_search:BackdoorLLM Jailbreak_Llama2-7B,False,,True,,,True,True,False,True,/data/gpfs/projects/punim0619/huggingface_cache/hub/LLaMA2-7B-Chat,LORA,CAUSAL_LM,8,16,"k_proj,o_proj,q_proj,down_proj,v_proj,up_proj,gate_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,False,True,False,False,-100,excluded: attack/backdoor-like repo name or tags,
BackdoorLLM/Jailbreak_Llama2-7B_Sleeper,hf_search:BackdoorLLM Jailbreak_Llama2-7B,False,,True,,,True,True,False,True,/data/gpfs/projects/punim0619/huggingface_cache/hub/LLaMA2-7B-Chat,LORA,CAUSAL_LM,8,16,"up_proj,k_proj,v_proj,q_proj,down_proj,gate_proj,o_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,False,True,False,False,-100,excluded: attack/backdoor-like repo name or tags,
BackdoorLLM/Jailbreak_Llama2-7B_MTBA,hf_search:BackdoorLLM Jailbreak_Llama2-7B,False,,True,,,True,True,False,True,/data/gpfs/projects/punim0619/huggingface_cache/hub/LLaMA2-7B-Chat,LORA,CAUSAL_LM,8,16,"v_proj,q_proj,up_proj,gate_proj,k_proj,o_proj,down_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,False,True,False,False,-100,excluded: attack/backdoor-like repo name or tags,
BackdoorLLM/Jailbreak_Llama2-7B_CTBA,hf_search:BackdoorLLM Jailbreak_Llama2-7B,False,,True,,,True,True,False,True,/data/gpfs/projects/punim0619/huggingface_cache/hub/LLaMA2-7B-Chat,LORA,CAUSAL_LM,8,16,"k_proj,v_proj,up_proj,gate_proj,o_proj,down_proj,q_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,False,True,False,False,-100,excluded: attack/backdoor-like repo name or tags,
