path,kind,category,planned_action,reason,needed_for_reproducibility,safe_to_ignore_for_final_review
scripts/29_expanded_sensaware_official_bounded_eval.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/30_analyze_tradeoff_results.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/31_plot_tradeoff_results.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/32_extract_eval_case_diagnostics.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/33_create_report_ready_results.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/34_create_report_ready_plots.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/35_final_submission_consistency_check.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/36_base_model_control_eval.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/37_clean_behaviour_similarity_analysis.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/38_wilson_ci_and_final_comparison.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/39_discover_official_asr_and_clean_utility_sources.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/39b_audit_official_asr_scorer.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/39c_verify_rule_based_jailbreak_asr.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/40_create_real_asr_and_clean_utility_prompt_files.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/42_clean_utility_perplexity_eval.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/43_real_asr_clean_utility_tradeoff.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/44_official_rule_based_asr_rescore_existing_outputs.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/45_official_rule_based_asr_eval.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/46_official_rule_based_asr_clean_tradeoff.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/47_official_rule_based_asr_sanity_checks.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
outputs/adapter_tensor_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/asr_utility_tradeoff_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/backdoorllm_official_trigger_verification.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/backdoorllm_trigger_source_candidates.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/base_control_preflight_check.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/base_model_control_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/base_model_control_eval_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/bounded_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/bounded_eval_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_adapter_candidate_comparison.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_behaviour_similarity_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/clean_candidate_FlagAlpha_Llama2_Chinese_7b_Chat_LoRA_tensor_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_candidate_Luciano_lora_4bit_Llama_2_7b_chat_hf_lener_br_tensor_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_candidate_manojpatil_llama_2_7b_chat_lora_adaptor_tensor_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_reference_candidates.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_sensitivity_component_scores.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_sensitivity_component_scores_expanded.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_utility_dataset_audit_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_utility_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_utility_eval_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_utility_perplexity_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/clean_utility_perplexity_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/clean_vs_backdoor_spectral_comparison.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/consolidated_tradeoff_results.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/eval_case_diagnostics.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/expanded_sensaware_adapter_smoke_check_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/expanded_sensaware_asr_utility_tradeoff_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/expanded_sensaware_official_bounded_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/expanded_sensaware_official_bounded_eval_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/final_cleanup_inventory.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/final_cleanup_plan.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/final_submission_consistency_check_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/final_submission_runner_quick_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/flagalpha_adapter_tensor_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_asr_clean_utility_discovery_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_asr_scorer_audit_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_badnets_asr_pilot_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_badnets_asr_pilot_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_badnets_full_bounded_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_badnets_full_bounded_eval_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_badnets_prompt_file_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_rule_based_asr_clean_tradeoff_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/official_rule_based_asr_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_rule_based_asr_eval_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/official_rule_based_asr_rescore_existing_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/official_rule_based_asr_sanity_checks_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/official_rule_based_asr_verification_summary.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/peft_loading_smoke_test_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/README.md,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/real_asr_clean_utility_tradeoff_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/real_eval_prompt_file_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/report_ready_case_diagnostics_summary.md,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/report_ready_key_findings.md,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/report_ready_main_results.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/report_ready_main_results.md,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/sanitised_adapter_generation_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sanitised_adapter_smoke_check_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sanitised_adapters,directory,KEEP_REPRODUCIBILITY_DATA,minimize_children,Keep only final/baseline adapter folders needed for focused result.,true,false
outputs/sensaware_adapter_smoke_check_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensaware_asr_utility_tradeoff_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensaware_failure_analysis_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensaware_official_bounded_eval_outputs.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensaware_official_bounded_eval_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensitivity_aware_adapter_generation_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensitivity_aware_expanded_adapter_generation_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensitivity_candidate_components.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sensitivity_candidate_components_expanded.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/small_baseline_evaluation.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/small_baseline_evaluation_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/spectral_stats.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/src_cleanup_audit.csv,file,KEEP_FINAL_RESULTS,copy_to_outputs_final_results_and_keep,"Final result, report-ready summary, or cleanup audit.",true,false
outputs/tiny_inference_smoke_test_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/uniform_scaling_adapter_generation_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/wilson_ci_tradeoff_summary.csv,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,"Intermediate, pilot, smoke, old heuristic, or superseded output.",false,true
outputs/sanitised_adapters/sensaware_top128_gamma_0.25,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/sensaware_top128_gamma_0.50,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/sensaware_top16_gamma_0.50,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/sensaware_top224_gamma_0.25,directory,KEEP_REPRODUCIBILITY_DATA,keep,Focused final condition/baseline adapter folder.,true,false
outputs/sanitised_adapters/sensaware_top224_gamma_0.50,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
